Timestamp,Which best describes you? ,Where do you usually receive and distribute orders?  ,What motivates you most to become an SGL?  , What is your biggest challenge when handling group orders today?  ,What should we improve to make your work easier as an SGL?  , How many people do you realistically think you can manage in a group?  ,Sales Name,,,,,
2/6/2026 17:57:40,Housewife,From my shop,Discount on products,Product quality,Better prices,5 - 10,Betelhem yenealem ,,,,,
2/6/2026 18:03:54,Housewife,From my home,Extra income,Product quality,Better prices,15 - 20,Firida shif,,,,,
2/6/2026 19:56:54,Housewife,From my home,Discount on products,Communication with customers,Financial Support,5 - 10,Mekdes chiferawe ,,,,,
2/6/2026 20:49:44,Housewife,From my shop,Discount on products,Product quality,Better prices,5 - 10,Betelhem yenealem ,,,,,
2/6/2026 20:50:17,Housewife,From my shop,Discount on products,Product quality,Better prices,5 - 10,Bethelhem yenealem ,,,,,
2/6/2026 20:51:11,Small trader / reseller,From my shop,Discount on products,Price,Faster delivery,5 - 10,Betelhem yenealem ,,,,,
2/6/2026 20:51:34,Small trader / reseller,From my shop,Discount on products,Delivery delay,Better prices,5 - 10,Betelhem yenealem ,,,,,
2/6/2026 20:52:07,Small trader / reseller,From my shop,Discount on products,Product quality,Better prices,5 - 10,Betelhem yenealem ,,,,,
2/6/2026 20:52:35,Housewife,From my shop,Discount on products,Product quality,Better prices,5 - 10,Betelhem yenealem ,,,,,
2/6/2026 20:53:07,Housewife,From my shop,Discount on products,Price,Better prices,5 - 10,Betelhem yenealem ,,,,,
2/6/2026 20:53:42,Housewife,From my shop,Discount on products,Product quality,Better prices,5 - 10,Betelhem yenealem ,,,,,
2/6/2026 20:54:16,Housewife,From my home,Discount on products,Product quality,Better prices,5 - 10,Betelhem yenealem ,,,,,
